modelo,M1_mape_mensual_categoria_pond,M2_mape_acum_12sem_claseA_media,M2_mediana,M3_wape_semanal_claseA_media,M3_mediana,n_categorias_M1,n_productos_A
media-movil-8,84.0,328.4,110.7,370.9,160.0,5,11
naive-estacional,72.1,287.4,73.7,355.7,128.8,5,11
