periodo,cantidad,monto_neto,categoria
2024-11-04,0.0,0.0,Accesorios
2024-11-11,0.0,0.0,Accesorios
2024-11-18,22.0,66369.73999999999,Accesorios
2024-11-25,1.0,3016.81,Accesorios
2024-12-02,33.0,99554.62,Accesorios
2024-12-09,0.0,0.0,Accesorios
2024-12-16,0.0,0.0,Accesorios
2024-12-23,2.0,6033.61,Accesorios
2024-12-30,2.0,6033.61,Accesorios
2025-01-06,0.0,0.0,Accesorios
2025-01-13,18.0,54302.520000000004,Accesorios
2025-01-20,2.0,6033.61,Accesorios
2025-01-27,0.0,0.0,Accesorios
2025-02-03,26.0,78436.97,Accesorios
2025-02-10,27.0,81453.78,Accesorios
2025-02-17,0.0,0.0,Accesorios
2025-02-24,0.0,0.0,Accesorios
2025-03-03,13.0,39218.49,Accesorios
2025-03-10,0.0,0.0,Accesorios
2025-03-17,40.0,120672.27,Accesorios
2025-03-24,10.0,30168.07,Accesorios
2025-03-31,0.0,0.0,Accesorios
2025-04-07,4.0,12067.23,Accesorios
2025-04-14,0.0,0.0,Accesorios
2025-04-21,20.0,60336.13,Accesorios
2025-04-28,9.0,27151.26,Accesorios
2025-05-05,0.0,0.0,Accesorios
2025-05-12,0.0,0.0,Accesorios
2025-05-19,15.0,45252.1,Accesorios
2025-05-26,18.0,54302.52,Accesorios
2025-06-02,0.0,0.0,Accesorios
2025-06-09,0.0,0.0,Accesorios
2025-06-16,1.0,3016.81,Accesorios
2025-06-23,0.0,0.0,Accesorios
2025-06-30,13.0,39218.48,Accesorios
2025-07-07,4.0,12067.23,Accesorios
2025-07-14,0.0,0.0,Accesorios
2025-07-21,0.0,0.0,Accesorios
2025-07-28,0.0,0.0,Accesorios
2025-08-04,10.0,30168.07,Accesorios
2025-08-11,6.0,18100.84,Accesorios
2025-08-18,0.0,0.0,Accesorios
2025-08-25,0.0,0.0,Accesorios
2025-09-01,0.0,0.0,Accesorios
2025-09-08,10.0,30168.06,Accesorios
2025-09-15,0.0,0.0,Accesorios
2025-09-22,14.0,42235.29,Accesorios
2025-09-29,0.0,0.0,Accesorios
2025-10-06,0.0,0.0,Accesorios
2025-10-13,36.0,108605.04000000001,Accesorios
2025-10-20,0.0,0.0,Accesorios
2025-10-27,0.0,0.0,Accesorios
2025-11-03,2.0,6033.61,Accesorios
2025-11-10,0.0,0.0,Accesorios
2025-11-17,0.0,0.0,Accesorios
2025-11-24,0.0,0.0,Accesorios
2025-12-01,0.0,0.0,Accesorios
2025-12-08,15.0,45252.1,Accesorios
2025-12-15,0.0,0.0,Accesorios
2025-12-22,0.0,0.0,Accesorios
2025-12-29,0.0,0.0,Accesorios
2026-01-05,0.0,0.0,Accesorios
2026-01-12,0.0,0.0,Accesorios
2026-01-19,0.0,0.0,Accesorios
2026-01-26,0.0,0.0,Accesorios
2026-02-02,15.0,45252.1,Accesorios
2026-02-09,0.0,0.0,Accesorios
2026-02-16,0.0,0.0,Accesorios
2026-02-23,0.0,0.0,Accesorios
2026-03-02,0.0,0.0,Accesorios
2026-03-09,0.0,0.0,Accesorios
2026-03-16,0.0,0.0,Accesorios
2026-03-23,0.0,0.0,Accesorios
2026-03-30,0.0,0.0,Accesorios
2026-04-06,0.0,0.0,Accesorios
2026-04-13,0.0,0.0,Accesorios
2026-04-20,0.0,0.0,Accesorios
2026-04-27,0.0,0.0,Accesorios
2026-05-04,0.0,0.0,Accesorios
2026-05-11,0.0,0.0,Accesorios
2026-05-18,0.0,0.0,Accesorios
2026-05-25,0.0,0.0,Accesorios
2026-06-01,0.0,0.0,Accesorios
2026-06-08,0.0,0.0,Accesorios
2026-06-15,0.0,0.0,Accesorios
2026-06-22,0.0,0.0,Accesorios
2026-06-29,0.0,0.0,Accesorios
2026-07-06,0.0,0.0,Accesorios
2024-02-05,88.0,382117.63,Adhesivos
2024-02-12,24.0,98621.85999999999,Adhesivos
2024-02-19,69.0,347067.22,Adhesivos
2024-02-26,70.0,413865.56,Adhesivos
2024-03-04,4.0,26521.0,Adhesivos
2024-03-11,42.0,319310.93,Adhesivos
2024-03-18,75.0,282310.94,Adhesivos
2024-03-25,27.0,88260.5,Adhesivos
2024-04-01,33.0,111235.29000000001,Adhesivos
2024-04-08,25.0,81722.70000000001,Adhesivos
2024-04-15,20.0,65378.149999999994,Adhesivos
2024-04-22,1.0,3268.91,Adhesivos
2024-04-29,1.0,16798.32,Adhesivos
2024-05-06,4.0,67193.28,Adhesivos
2024-05-13,1.0,3268.91,Adhesivos
2024-05-20,37.0,262546.22,Adhesivos
2024-05-27,0.0,0.0,Adhesivos
2024-06-03,40.0,255882.37,Adhesivos
2024-06-10,28.0,132117.66,Adhesivos
2024-06-17,18.0,72369.75,Adhesivos
2024-06-24,55.0,297941.18,Adhesivos
2024-07-01,59.0,277235.3,Adhesivos
2024-07-08,40.0,174453.78,Adhesivos
2024-07-15,30.0,114957.98999999999,Adhesivos
2024-07-22,16.0,55663.880000000005,Adhesivos
2024-07-29,22.0,85361.34999999999,Adhesivos
2024-08-05,12.0,39226.89,Adhesivos
2024-08-12,7.0,22882.36,Adhesivos
2024-08-19,16.0,62386.56,Adhesivos
2024-08-26,13.0,55941.189999999995,Adhesivos
2024-09-02,40.0,248907.56999999998,Adhesivos
2024-09-09,18.0,89092.43,Adhesivos
2024-09-16,1.0,3268.91,Adhesivos
2024-09-23,39.0,191436.99,Adhesivos
2024-09-30,52.0,240739.49,Adhesivos
2024-10-07,18.0,62201.69,Adhesivos
2024-10-14,17.0,55571.44,Adhesivos
2024-10-21,14.0,59294.12,Adhesivos
2024-10-28,22.0,85445.38,Adhesivos
2024-11-04,7.0,63470.59,Adhesivos
2024-11-11,27.0,155907.57,Adhesivos
2024-11-18,13.0,69554.62,Adhesivos
2024-11-25,23.0,75184.88,Adhesivos
2024-12-02,23.0,152915.97,Adhesivos
2024-12-09,20.0,105966.4,Adhesivos
2024-12-16,32.0,195613.44,Adhesivos
2024-12-23,7.0,60025.22,Adhesivos
2024-12-30,18.0,95983.2,Adhesivos
2025-01-06,49.0,298159.67,Adhesivos
2025-01-13,18.0,99428.58,Adhesivos
2025-01-20,101.0,691924.38,Adhesivos
2025-01-27,81.0,389235.3,Adhesivos
2025-02-03,23.0,129050.42000000001,Adhesivos
2025-02-10,89.0,500176.47,Adhesivos
2025-02-17,86.0,436252.08999999997,Adhesivos
2025-02-24,51.0,331840.35,Adhesivos
2025-03-03,44.0,201226.88999999998,Adhesivos
2025-03-10,33.0,192327.74,Adhesivos
2025-03-17,24.0,139210.08,Adhesivos
2025-03-24,33.0,178798.33000000002,Adhesivos
2025-03-31,78.0,386655.47,Adhesivos
2025-04-07,59.0,307319.33,Adhesivos
2025-04-14,35.0,175084.03,Adhesivos
